Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Phase
BHARTIYA JANTA PARTY,2022-01-18,205000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
MAHARASHTRAWADI GOMNTAK PARTY,2022-01-18,5500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-18,27000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BIJU JANATA DAL,2022-01-20,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-20,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
AAM AADMI PARTY,2022-01-21,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
ALL INDIA TRINAMOOL CONGRESS,2022-01-21,4000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARTIYA JANTA PARTY,2022-01-21,137000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
ALL INDIA TRINAMOOL CONGRESS,2022-01-24,32000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARAT RASHTRA SAMITHI,2022-04-06,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
