Name of the Political Party,"Date of
Encashment",Sum - Denomination
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Oct/2023,649800000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16/Oct/2023,80000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",17/Oct/2023,153000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",19/Oct/2023,120000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",21/Oct/2023,20000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",23/Oct/2023,7000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25/Oct/2023,50000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09/Nov/2023,60000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/Nov/2023,190000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Nov/2023,85000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14/Nov/2023,300000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15/Nov/2023,90000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/Nov/2023,150000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",21/Nov/2023,400000000
